,estimated_diameter,name,neo_reference_id,absolute_magnitude_h,is_sentry_object,close_approach_day,close_approach_full,relative_velocity_kmh,miss_distance_lunar,miss_distance_astro,miss_distance_km,estimated_diameter_min,estimated_diameter_max,average_diameter,impact_strength
10,"{'kilometers': {'estimated_diameter_min': 0.0073207399, 'estimated_diameter_max': 0.016369672}, 'meters': {'estimated_diameter_min': 7.3207398935, 'estimated_diameter_max': 16.3696720474}, 'miles': {'estimated_diameter_min': 0.0045488955, 'estimated_diameter_max': 0.0101716395}, 'feet': {'estimated_diameter_min': 24.0181762721, 'estimated_diameter_max': 53.70627484}}",(2019 BX1),3838016,27.8,False,2019-01-08,2019-Jan-08 15:49,14513.3592993199,1.3945015541,0.0035848369,536283.964537403,7.3207398935,16.3696720474,11.845205970450001,171913.73022359013
11,"{'kilometers': {'estimated_diameter_min': 0.160160338, 'estimated_diameter_max': 0.358129403}, 'meters': {'estimated_diameter_min': 160.1603379786, 'estimated_diameter_max': 358.1294030194}, 'miles': {'estimated_diameter_min': 0.0995189894, 'estimated_diameter_max': 0.2225312253}, 'feet': {'estimated_diameter_min': 525.4604432536, 'estimated_diameter_max': 1174.9652706022}}",(2019 BH4),3838057,21.1,False,2019-01-08,2019-Jan-08 23:03,106611.8517378432,102.7601002758,0.2641647822,39518488.746133914,160.1603379786,358.1294030194,259.14487049900004,27627914.512261968
12,"{'kilometers': {'estimated_diameter_min': 0.0253837029, 'estimated_diameter_max': 0.0567596853}, 'meters': {'estimated_diameter_min': 25.3837029364, 'estimated_diameter_max': 56.7596852866}, 'miles': {'estimated_diameter_min': 0.0157726969, 'estimated_diameter_max': 0.0352688224}, 'feet': {'estimated_diameter_min': 83.279867942, 'estimated_diameter_max': 186.2194458756}}",(2019 BH5),3838084,25.1,False,2019-01-08,2019-Jan-08 02:13,14703.2145759032,20.9474537495,0.0538494955,8055769.827374585,25.3837029364,56.7596852866,41.0716941115,603885.9315172444
13,"{'kilometers': {'estimated_diameter_min': 0.021505769, 'estimated_diameter_max': 0.0480883614}, 'meters': {'estimated_diameter_min': 21.5057690002, 'estimated_diameter_max': 48.0883613928}, 'miles': {'estimated_diameter_min': 0.0133630612, 'estimated_diameter_max': 0.0298807132}, 'feet': {'estimated_diameter_min': 70.5569871665, 'estimated_diameter_max': 157.7702195919}}",(2021 AX3),54105095,25.46,False,2019-01-08,2019-Jan-08 02:07,82831.3127231285,143.6702582037,0.3693322833,55251322.903916571,21.5057690002,48.0883613928,34.7970651965,2882286.5891383826
14,"{'kilometers': {'estimated_diameter_min': 0.0470494961, 'estimated_diameter_max': 0.1052058716}, 'meters': {'estimated_diameter_min': 47.0494961121, 'estimated_diameter_max': 105.2058716137}, 'miles': {'estimated_diameter_min': 0.0292351924, 'estimated_diameter_max': 0.0653718777}, 'feet': {'estimated_diameter_min': 154.3618688243, 'estimated_diameter_max': 345.1636318251}}",(2021 DF2),54125411,23.76,False,2019-01-08,2019-Jan-08 18:33,11412.4630974781,125.9861481718,0.3238718462,48450538.344487594,47.0494961121,105.2058716137,76.1276838629,868804.3827818253
15,"{'kilometers': {'estimated_diameter_min': 0.2887719308, 'estimated_diameter_max': 0.6457136672}, 'meters': {'estimated_diameter_min': 288.7719307574, 'estimated_diameter_max': 645.7136671674}, 'miles': {'estimated_diameter_min': 0.1794345034, 'estimated_diameter_max': 0.4012277471}, 'feet': {'estimated_diameter_min': 947.4145013062, 'estimated_diameter_max': 2118.4832277896}}",512245 (2016 AU8),2512245,19.82,False,2019-01-07,2019-Jan-07 23:17,24157.5922040352,59.9302633304,0.1540623736,23047402.937704232,288.7719307574,645.7136671674,467.2427989624,11287460.99760566
16,"{'kilometers': {'estimated_diameter_min': 0.0840533402, 'estimated_diameter_max': 0.1879489824}, 'meters': {'estimated_diameter_min': 84.0533402073, 'estimated_diameter_max': 187.9489824394}, 'miles': {'estimated_diameter_min': 0.0522283081, 'estimated_diameter_max': 0.1167860472}, 'feet': {'estimated_diameter_min': 275.7655606856, 'estimated_diameter_max': 616.6305395464}}",(2012 AN10),3592306,22.5,False,2019-01-07,2019-Jan-07 06:07,83760.8311628924,125.1067086418,0.3216110762,48112331.967927694,84.0533402073,187.9489824394,136.00116132335,11391570.311562411
17,"{'kilometers': {'estimated_diameter_min': 0.160160338, 'estimated_diameter_max': 0.358129403}, 'meters': {'estimated_diameter_min': 160.1603379786, 'estimated_diameter_max': 358.1294030194}, 'miles': {'estimated_diameter_min': 0.0995189894, 'estimated_diameter_max': 0.2225312253}, 'feet': {'estimated_diameter_min': 525.4604432536, 'estimated_diameter_max': 1174.9652706022}}",(2016 AZ8),3739246,21.1,False,2019-01-07,2019-Jan-07 06:41,32927.9436621863,11.5829298577,0.0297761693,4454451.504039391,160.1603379786,358.1294030194,259.14487049900004,8533107.696135636
18,"{'kilometers': {'estimated_diameter_min': 0.0840533402, 'estimated_diameter_max': 0.1879489824}, 'meters': {'estimated_diameter_min': 84.0533402073, 'estimated_diameter_max': 187.9489824394}, 'miles': {'estimated_diameter_min': 0.0522283081, 'estimated_diameter_max': 0.1167860472}, 'feet': {'estimated_diameter_min': 275.7655606856, 'estimated_diameter_max': 616.6305395464}}",(2016 JG12),3752902,22.5,False,2019-01-07,2019-Jan-07 09:43,24945.5683536543,50.588346796,0.130047164,19454778.73394068,84.0533402073,187.9489824394,136.00116132335,3392626.265967993
19,"{'kilometers': {'estimated_diameter_min': 0.0802703167, 'estimated_diameter_max': 0.1794898848}, 'meters': {'estimated_diameter_min': 80.2703167283, 'estimated_diameter_max': 179.4898847799}, 'miles': {'estimated_diameter_min': 0.049877647, 'estimated_diameter_max': 0.1115298092}, 'feet': {'estimated_diameter_min': 263.3540659348, 'estimated_diameter_max': 588.8775935812}}",(2017 MZ),3775710,22.6,False,2019-01-07,2019-Jan-07 18:28,49865.5110190172,37.3585462271,0.0960373939,14366989.567790993,80.2703167283,179.4898847799,129.8801007541,6476537.595304637
20,"{'kilometers': {'estimated_diameter_min': 0.1108038821, 'estimated_diameter_max': 0.2477650126}, 'meters': {'estimated_diameter_min': 110.8038821264, 'estimated_diameter_max': 247.7650126055}, 'miles': {'estimated_diameter_min': 0.068850319, 'estimated_diameter_max': 0.1539539936}, 'feet': {'estimated_diameter_min': 363.5298086356, 'estimated_diameter_max': 812.8773639568}}",(2018 NJ4),3825646,21.9,False,2019-01-07,2019-Jan-07 20:05,51518.1958310426,106.0493757059,0.2726205031,40783446.582088397,110.8038821264,247.7650126055,179.28444736595,9236411.268859262
21,"{'kilometers': {'estimated_diameter_min': 0.1160259082, 'estimated_diameter_max': 0.2594418179}, 'meters': {'estimated_diameter_min': 116.0259082094, 'estimated_diameter_max': 259.4418179074}, 'miles': {'estimated_diameter_min': 0.0720951346, 'estimated_diameter_max': 0.1612096218}, 'feet': {'estimated_diameter_min': 380.6624406898, 'estimated_diameter_max': 851.1870938635}}",(2019 AS4),3837648,21.8,False,2019-01-07,2019-Jan-07 06:50,34958.6752808342,108.6076487545,0.2791970405,41767282.569103735,116.0259082094,259.4418179074,187.7338630584,6562927.157875201
22,"{'kilometers': {'estimated_diameter_min': 0.0121494041, 'estimated_diameter_max': 0.0271668934}, 'meters': {'estimated_diameter_min': 12.14940408, 'estimated_diameter_max': 27.1668934089}, 'miles': {'estimated_diameter_min': 0.0075492874, 'estimated_diameter_max': 0.0168807197}, 'feet': {'estimated_diameter_min': 39.8602508817, 'estimated_diameter_max': 89.1302305717}}",(2019 AR7),3837745,26.7,False,2019-01-07,2019-Jan-07 16:44,15020.4334335588,3.4591542197,0.0088924273,1330288.183209851,12.14940408,27.1668934089,19.65814874445,295273.91464300867
23,"{'kilometers': {'estimated_diameter_min': 0.034846164, 'estimated_diameter_max': 0.0779183915}, 'meters': {'estimated_diameter_min': 34.8461640282, 'estimated_diameter_max': 77.9183915221}, 'miles': {'estimated_diameter_min': 0.0216523958, 'estimated_diameter_max': 0.0484162289}, 'feet': {'estimated_diameter_min': 114.3246887903, 'estimated_diameter_max': 255.6377756415}}",(2019 AV14),3838004,24.412,False,2019-01-07,2019-Jan-07 13:57,87429.3772664066,32.4061883941,0.0833063969,12462459.533614603,34.8461640282,77.9183915221,56.38227777515,4929467.434742922
24,"{'kilometers': {'estimated_diameter_min': 0.0350392641, 'estimated_diameter_max': 0.0783501764}, 'meters': {'estimated_diameter_min': 35.0392641108, 'estimated_diameter_max': 78.3501764334}, 'miles': {'estimated_diameter_min': 0.0217723826, 'estimated_diameter_max': 0.0486845275}, 'feet': {'estimated_diameter_min': 114.9582192654, 'estimated_diameter_max': 257.0543928497}}",(2020 YA5),54103334,24.4,False,2019-01-07,2019-Jan-07 16:45,52940.1805032787,53.139642585,0.136605765,20435931.47372055,35.0392641108,78.3501764334,56.6947202721,3001428.724787868
25,"{'kilometers': {'estimated_diameter_min': 0.0092162655, 'estimated_diameter_max': 0.0206081961}, 'meters': {'estimated_diameter_min': 9.216265485, 'estimated_diameter_max': 20.6081961232}, 'miles': {'estimated_diameter_min': 0.0057267201, 'estimated_diameter_max': 0.0128053354}, 'feet': {'estimated_diameter_min': 30.2370924539, 'estimated_diameter_max': 67.6121941689}}",(2018 FG1),3801993,27.3,False,2019-01-06,2019-Jan-06 05:00,32335.6610256857,163.6238713743,0.4206269187,62924891.102183169,9.216265485,20.6081961232,14.912230804099998,482196.840418166
26,"{'kilometers': {'estimated_diameter_min': 0.0192555078, 'estimated_diameter_max': 0.0430566244}, 'meters': {'estimated_diameter_min': 19.2555078188, 'estimated_diameter_max': 43.0566244241}, 'miles': {'estimated_diameter_min': 0.0119648141, 'estimated_diameter_max': 0.0267541378}, 'feet': {'estimated_diameter_min': 63.1742402722, 'estimated_diameter_max': 141.2618956756}}",(2018 LP3),3825161,25.7,False,2019-01-06,2019-Jan-06 22:27,31398.0403596821,181.4989334928,0.4665782352,69799110.174279024,19.2555078188,43.0566244241,31.156066121450003,978239.4215302113
27,"{'kilometers': {'estimated_diameter_min': 0.1677084622, 'estimated_diameter_max': 0.3750075218}, 'meters': {'estimated_diameter_min': 167.7084621628, 'estimated_diameter_max': 375.0075217981}, 'miles': {'estimated_diameter_min': 0.1042091748, 'estimated_diameter_max': 0.2330187988}, 'feet': {'estimated_diameter_min': 550.2246310023, 'estimated_diameter_max': 1230.3396778159}}",(2018 NP1),3825580,21.0,False,2019-01-06,2019-Jan-06 23:17,63156.7087451852,81.6163046502,0.2098105518,31387211.652804666,167.7084621628,375.0075217981,271.35799198045004,17138077.665187582
28,"{'kilometers': {'estimated_diameter_min': 0.1460679643, 'estimated_diameter_max': 0.3266178974}, 'meters': {'estimated_diameter_min': 146.0679642714, 'estimated_diameter_max': 326.6178974458}, 'miles': {'estimated_diameter_min': 0.090762397, 'estimated_diameter_max': 0.2029508896}, 'feet': {'estimated_diameter_min': 479.2256199, 'estimated_diameter_max': 1071.581062656}}",(2018 PG22),3826811,21.3,False,2019-01-06,2019-Jan-06 22:07,43264.3288096206,88.9321676275,0.2286173975,34200675.710943325,146.0679642714,326.6178974458,236.3429308586,10225218.272495897
29,"{'kilometers': {'estimated_diameter_min': 0.1272198785, 'estimated_diameter_max': 0.2844722965}, 'meters': {'estimated_diameter_min': 127.2198785394, 'estimated_diameter_max': 284.4722965033}, 'miles': {'estimated_diameter_min': 0.0790507431, 'estimated_diameter_max': 0.1767628354}, 'feet': {'estimated_diameter_min': 417.3880663071, 'estimated_diameter_max': 933.3080892598}}",(2018 RW7),3829489,21.6,False,2019-01-06,2019-Jan-06 12:46,27675.8126086478,62.2136119905,0.1599321645,23925511.153689615,127.2198785394,284.4722965033,205.84608752135,5696957.744464197
30,"{'kilometers': {'estimated_diameter_min': 0.022108281, 'estimated_diameter_max': 0.0494356193}, 'meters': {'estimated_diameter_min': 22.1082810359, 'estimated_diameter_max': 49.435619262}, 'miles': {'estimated_diameter_min': 0.0137374447, 'estimated_diameter_max': 0.0307178602}, 'feet': {'estimated_diameter_min': 72.5337327539, 'estimated_diameter_max': 162.1903570994}}",(2018 XO4),3836902,25.4,False,2019-01-06,2019-Jan-06 22:56,14325.8605192221,7.8437802455,0.0201639595,3016485.391966265,22.1082810359,49.435619262,35.77195014895,512463.9683344239
31,"{'kilometers': {'estimated_diameter_min': 0.0366906138, 'estimated_diameter_max': 0.0820427065}, 'meters': {'estimated_diameter_min': 36.6906137531, 'estimated_diameter_max': 82.0427064882}, 'miles': {'estimated_diameter_min': 0.0227984834, 'estimated_diameter_max': 0.0509789586}, 'feet': {'estimated_diameter_min': 120.3760332259, 'estimated_diameter_max': 269.1689931548}}",(2019 AJ3),3837608,24.3,False,2019-01-06,2019-Jan-06 17:41,36451.1892926894,18.7206678289,0.0481251101,7199413.964475487,36.6906137531,82.0427064882,59.366660120649996,2163985.365732568
32,"{'kilometers': {'estimated_diameter_min': 0.02658, 'estimated_diameter_max': 0.0594346868}, 'meters': {'estimated_diameter_min': 26.58, 'estimated_diameter_max': 59.4346868419}, 'miles': {'estimated_diameter_min': 0.0165160412, 'estimated_diameter_max': 0.0369309908}, 'feet': {'estimated_diameter_min': 87.2047272, 'estimated_diameter_max': 194.9956979785}}",(2019 AZ9),3837818,25.0,False,2019-01-06,2019-Jan-06 01:31,44674.2206123458,14.8692792687,0.0382243683,5718284.079775521,26.58,59.4346868419,43.00734342095,1921319.547938439
33,"{'kilometers': {'estimated_diameter_min': 0.0802703167, 'estimated_diameter_max': 0.1794898848}, 'meters': {'estimated_diameter_min': 80.2703167283, 'estimated_diameter_max': 179.4898847799}, 'miles': {'estimated_diameter_min': 0.049877647, 'estimated_diameter_max': 0.1115298092}, 'feet': {'estimated_diameter_min': 263.3540659348, 'estimated_diameter_max': 588.8775935812}}",(2019 AH10),3837822,22.6,False,2019-01-06,2019-Jan-06 08:57,50604.6019121147,59.4378414175,0.1527965075,22858032.065439025,80.2703167283,179.4898847799,129.8801007541,6572530.7949665785
34,"{'kilometers': {'estimated_diameter_min': 0.1272198785, 'estimated_diameter_max': 0.2844722965}, 'meters': {'estimated_diameter_min': 127.2198785394, 'estimated_diameter_max': 284.4722965033}, 'miles': {'estimated_diameter_min': 0.0790507431, 'estimated_diameter_max': 0.1767628354}, 'feet': {'estimated_diameter_min': 417.3880663071, 'estimated_diameter_max': 933.3080892598}}",(2019 AJ10),3837823,21.6,False,2019-01-06,2019-Jan-06 00:16,73805.9227008649,89.6202862989,0.2303863401,34465305.756055587,127.2198785394,284.4722965033,205.84608752135,15192660.42387623
35,"{'kilometers': {'estimated_diameter_min': 0.0022108281, 'estimated_diameter_max': 0.0049435619}, 'meters': {'estimated_diameter_min': 2.2108281036, 'estimated_diameter_max': 4.9435619262}, 'miles': {'estimated_diameter_min': 0.0013737445, 'estimated_diameter_max': 0.003071786}, 'feet': {'estimated_diameter_min': 7.2533732754, 'estimated_diameter_max': 16.2190357099}}",(2020 SK4),54054609,30.4,False,2019-01-06,2019-Jan-06 05:10,19196.7589114213,81.9648062103,0.2107064427,31521235.023197049,2.2108281036,4.9435619262,3.5771950149,68670.55028017343
36,"{'kilometers': {'estimated_diameter_min': 0.1460679643, 'estimated_diameter_max': 0.3266178974}, 'meters': {'estimated_diameter_min': 146.0679642714, 'estimated_diameter_max': 326.6178974458}, 'miles': {'estimated_diameter_min': 0.090762397, 'estimated_diameter_max': 0.2029508896}, 'feet': {'estimated_diameter_min': 479.2256199, 'estimated_diameter_max': 1071.581062656}}",(2021 AZ4),54105263,21.3,False,2019-01-06,2019-Jan-06 10:49,96325.4717506829,139.2164700396,0.3578829564,53538527.986742868,146.0679642714,326.6178974458,236.3429308586,22765844.309893675
37,"{'kilometers': {'estimated_diameter_min': 0.5815070396, 'estimated_diameter_max': 1.30028927}, 'meters': {'estimated_diameter_min': 581.5070396458, 'estimated_diameter_max': 1300.2892700427}, 'miles': {'estimated_diameter_min': 0.3613316107, 'estimated_diameter_max': 0.807962044}, 'feet': {'estimated_diameter_min': 1907.8315559515, 'estimated_diameter_max': 4266.0410487267}}",267729 (2003 FC5),2267729,18.3,False,2019-01-05,2019-Jan-05 10:03,47941.4840611277,96.8356041739,0.2489347151,37240103.148016837,581.5070396458,1300.2892700427,940.89815484425,45108053.893610075
38,"{'kilometers': {'estimated_diameter_min': 0.3346223745, 'estimated_diameter_max': 0.7482383761}, 'meters': {'estimated_diameter_min': 334.6223744549, 'estimated_diameter_max': 748.2383760735}, 'miles': {'estimated_diameter_min': 0.2079246394, 'estimated_diameter_max': 0.464933628}, 'feet': {'estimated_diameter_min': 1097.8424710066, 'estimated_diameter_max': 2454.8503937571}}",352102 (2007 AG12),2352102,19.5,False,2019-01-05,2019-Jan-05 01:32,78076.2509125276,189.6486851504,0.4875287536,72933263.102314832,334.6223744549,748.2383760735,541.4303752642,42272853.83079166
39,"{'kilometers': {'estimated_diameter_min': 0.3669061375, 'estimated_diameter_max': 0.8204270649}, 'meters': {'estimated_diameter_min': 366.9061375314, 'estimated_diameter_max': 820.4270648822}, 'miles': {'estimated_diameter_min': 0.2279848336, 'estimated_diameter_max': 0.5097895857}, 'feet': {'estimated_diameter_min': 1203.7603322587, 'estimated_diameter_max': 2691.6899315481}}",380476 (2003 YO1),2380476,19.3,False,2019-01-05,2019-Jan-05 08:01,36973.3413183109,152.561151061,0.392188049,58670496.76985563,366.9061375314,820.4270648822,593.6666012068,21949837.875700578
40,"{'kilometers': {'estimated_diameter_min': 0.1010543415, 'estimated_diameter_max': 0.2259643771}, 'meters': {'estimated_diameter_min': 101.054341542, 'estimated_diameter_max': 225.9643771094}, 'miles': {'estimated_diameter_min': 0.0627922373, 'estimated_diameter_max': 0.140407711}, 'feet': {'estimated_diameter_min': 331.5431259047, 'estimated_diameter_max': 741.3529669956}}",(2007 YU56),3398656,22.1,False,2019-01-05,2019-Jan-05 16:08,39902.1792018908,27.2441104693,0.0700362737,10477277.368257019,101.054341542,225.9643771094,163.50935932570002,6524379.757000437
41,"{'kilometers': {'estimated_diameter_min': 0.0384197891, 'estimated_diameter_max': 0.0859092601}, 'meters': {'estimated_diameter_min': 38.4197891064, 'estimated_diameter_max': 85.9092601232}, 'miles': {'estimated_diameter_min': 0.0238729428, 'estimated_diameter_max': 0.0533815229}, 'feet': {'estimated_diameter_min': 126.0491808919, 'estimated_diameter_max': 281.8545369825}}",(2016 UN36),3761734,24.2,False,2019-01-05,2019-Jan-05 04:18,39004.4279542435,97.7170178011,0.2512005599,37579068.703847413,38.4197891064,85.9092601232,62.1645246148,2424691.7216477636
42,"{'kilometers': {'estimated_diameter_min': 0.0050647146, 'estimated_diameter_max': 0.0113250461}, 'meters': {'estimated_diameter_min': 5.0647145883, 'estimated_diameter_max': 11.3250461062}, 'miles': {'estimated_diameter_min': 0.0031470668, 'estimated_diameter_max': 0.0070370552}, 'feet': {'estimated_diameter_min': 16.61651821, 'estimated_diameter_max': 37.155664267}}",(2018 AS2),3797461,28.6,False,2019-01-05,2019-Jan-05 15:24,55763.5342657651,104.7759551476,0.2693469284,40293726.779682508,5.0647145883,11.3250461062,8.19488034725,456975.4910477204
43,"{'kilometers': {'estimated_diameter_min': 0.1058168859, 'estimated_diameter_max': 0.2366137501}, 'meters': {'estimated_diameter_min': 105.8168859331, 'estimated_diameter_max': 236.6137501138}, 'miles': {'estimated_diameter_min': 0.0657515442, 'estimated_diameter_max': 0.1470249225}, 'feet': {'estimated_diameter_min': 347.1682720448, 'estimated_diameter_max': 776.2918559233}}",(2018 XH),3836718,22.0,False,2019-01-05,2019-Jan-05 09:23,25921.551697805,38.4161303688,0.0987561192,14773705.081786104,105.8168859331,236.6137501138,171.21531802344998,4438166.717600983
44,"{'kilometers': {'estimated_diameter_min': 0.0127219879, 'estimated_diameter_max': 0.0284472297}, 'meters': {'estimated_diameter_min': 12.7219878539, 'estimated_diameter_max': 28.4472296503}, 'miles': {'estimated_diameter_min': 0.0079050743, 'estimated_diameter_max': 0.0176762835}, 'feet': {'estimated_diameter_min': 41.7388066307, 'estimated_diameter_max': 93.330808926}}",(2018 YR2),3837535,26.6,False,2019-01-05,2019-Jan-05 05:01,18794.2408235234,9.0486324351,0.0232612659,3479835.832143633,12.7219878539,28.4472296503,20.5846087521,386872.0941449749
45,"{'kilometers': {'estimated_diameter_min': 0.1925550782, 'estimated_diameter_max': 0.4305662442}, 'meters': {'estimated_diameter_min': 192.5550781879, 'estimated_diameter_max': 430.566244241}, 'miles': {'estimated_diameter_min': 0.1196481415, 'estimated_diameter_max': 0.2675413778}, 'feet': {'estimated_diameter_min': 631.7424027221, 'estimated_diameter_max': 1412.6189567557}}",(2019 AC),3837544,20.7,False,2019-01-05,2019-Jan-05 20:38,23176.8180810444,105.0293930433,0.2699984397,40391191.482443439,192.5550781879,430.566244241,311.56066121444996,7220984.766177213
46,"{'kilometers': {'estimated_diameter_min': 0.0121494041, 'estimated_diameter_max': 0.0271668934}, 'meters': {'estimated_diameter_min': 12.14940408, 'estimated_diameter_max': 27.1668934089}, 'miles': {'estimated_diameter_min': 0.0075492874, 'estimated_diameter_max': 0.0168807197}, 'feet': {'estimated_diameter_min': 39.8602508817, 'estimated_diameter_max': 89.1302305717}}",(2019 AU),3837563,26.7,False,2019-01-05,2019-Jan-05 21:07,11209.4474336579,7.7688958005,0.0199714545,2987687.054001915,12.14940408,27.1668934089,19.65814874445,220356.98499394034
